title,artist_name,audio_url,duration,language,album_name
Mawlaya,Maher Zain,,240,Arabic,Forgive Me
Forgive Me,Maher Zain,,210,English,Forgive Me
The Chosen One,Maher Zain,,195,English,Forgive Me
Ya Nabi Salam Alayka,Maher Zain,,225,Arabic,One
Allahi Allah Kiya Karo,Maher Zain,,200,Urdu,One
Ramadan,Maher Zain,,215,English,One
Hold My Hand,Maher Zain,,230,English,Forgive Me
Tala Al Badru Alayna,Mishary Rashid,,180,Arabic,Mishary Classics
Salam,Mishary Rashid,,195,Arabic,Salam
Al Quds,Mishary Rashid,,210,Arabic,Sacred
Asma Allah Al Husna,Mishary Rashid,,300,Arabic,Names of Allah
Ya Rabb,Hamza Namira,,220,Arabic,Insan
Waheshni,Hamza Namira,,240,Arabic,Insan
Kont Mayyetan,Hamza Namira,,215,Arabic,Insan
Sa Yamdi,Hamza Namira,,200,Arabic,Shams Al Haq
Hear Me,Sami Yusuf,,195,English,My Ummah
Al Mu'allim,Sami Yusuf,,230,Arabic,My Ummah
Supplication,Sami Yusuf,,185,English,My Ummah
You Came To Me,Sami Yusuf,,210,English,My Ummah
Hasbi Rabbi,Sami Yusuf,,200,Arabic,Al Mu'allim
Balaghal Ula,Sami Yusuf,,220,Arabic,Al Mu'allim
Free,Sami Yusuf,,240,English,My Ummah
Muhasaba,Native Deen,,195,English,Faith Makes Us One
Not Afraid to Stand Alone,Native Deen,,210,English,Not Afraid
Small Deeds,Native Deen,,200,English,Faith Makes Us One
Eid Is Here,Native Deen,,185,English,Eid
My Faith My Life,Native Deen,,215,English,Alhamdulillah
Deen Is Complete,Native Deen,,225,English,Not Afraid
Lamma Bada Yatathanna,Ahmed Bukhatir,,240,Arabic,Spiritual Melodies
Subhanallah,Ahmed Bukhatir,,195,Arabic,Spiritual Melodies
Wala Tansa,Ahmed Bukhatir,,210,Arabic,Spiritual Melodies
Ya Man Lahul Mulk,Ahmed Bukhatir,,230,Arabic,Sacred Songs
Iqra,Ahmed Bukhatir,,220,Arabic,Sacred Songs
Allahumma Salli,Mesut Kurtis,,215,Turkish/Arabic,Salawat
Burdah,Mesut Kurtis,,240,Arabic,Salawat
Rohul Fida,Mesut Kurtis,,195,Arabic,Salawat
Peygamber,Mesut Kurtis,,210,Turkish,Nasheed Collection
O Praise The One,Dawud Wharnsby,,200,English,The Prophets Hands
Tis A Gift,Dawud Wharnsby,,185,English,Colors of Islam
I Look I See,Dawud Wharnsby,,195,English,Colors of Islam
The Playground Song,Zain Bhikha,,180,English,Mountains of Makkah
Mountains of Makkah,Zain Bhikha,,215,English,Mountains of Makkah
Give Thanks to Allah,Zain Bhikha,,195,English,Mountains of Makkah
Sabr,Zain Bhikha,,210,English,Mountains of Makkah
